uid,order_no,date,qty,price,genre,author
70354782,11221,2024-01-04,1,9.99,Horror,"Little, Bentley"
70354782,11221,2024-01-04,1,3.5,Fantasy,"Farris, John"
70354782,11221,2024-01-04,1,7.0,Horror,"Hill, Joe"
70354782,11221,2024-01-04,1,6.0,Horror,"King, Stephen,Straub, Peter"
43421015,11222,2024-01-04,1,4.0,Mystery,"Blackwell, Juliet"
43421015,11222,2024-01-04,1,5.0,Mystery,"Hoag, Tami"
43421015,11222,2024-01-04,1,4.0,Collectibles,"Plato,"
25121261,11224,2024-01-04,1,12.99,Hobbies & Crafts,"Phillips, Mary Walker"
25121261,11224,2024-01-04,1,12.0,Kid's Board Books,"Deneux, Xavier"
25121261,11224,2024-01-04,1,8.99,Gardening,"Fenten, D. X."
25121261,11224,2024-01-04,1,9.99,Health,"Rose, Jeanne"
25121261,11224,2024-01-04,1,6.5,Gardening,"Wall, Carly"
25121261,11224,2024-01-04,1,7.5,Health,"Hanna, Thomas"
55712897,11226,2024-01-04,1,9.99,Sociology,"Gladwell, Malcolm"
55712897,11226,2024-01-04,1,8.5,American History,"Atwood, Margaret"
55712897,11226,2024-01-04,1,9.5,Westerns,"George, Elizabeth"
55712897,11226,2024-01-04,1,5.0,Young Adult & Teen,"Despain, Bree"
21125331,11227,2024-01-04,1,5.0,Mystery,"Rollins, James"
21125331,11227,2024-01-04,1,5.0,Mystery,"Iles, Greg"
21125331,11227,2024-01-04,1,9.99,Best Seller,"Iles, Greg"
21125331,11227,2024-01-04,1,9.99,Historical Fiction,"Gabaldon, Diana"
68243555,11228,2024-01-04,1,9.0,Historical Fiction,"Gabaldon, Diana"
68243555,11228,2024-01-04,1,5.0,Fantasy,"Martin, George R.R."
68243555,11228,2024-01-04,1,5.0,Best Seller,"Martin, George R. R."
68243555,11228,2024-01-04,1,5.0,Best Seller,"Martin, George R. R."
68243555,11228,2024-01-04,1,5.0,Best Seller,"Martin, George R. R."
68243555,11228,2024-01-04,1,4.0,Fantasy,"Lackey, Mercedes"
68243555,11228,2024-01-04,1,3.5,Fantasy,"Lackey, Mercedes"
67885169,11230,2024-01-05,1,8.5,Fiction,"Hannah, Kristin"
67885169,11230,2024-01-05,1,8.0,Romance,"Goodnight, Linda"
87887358,11231,2024-01-05,1,5.0,Mystery,"Cussler, Clive,Brown, Graham"
87887358,11231,2024-01-05,1,5.0,Mystery,"Connelly, Michael"
91569950,11232,2024-01-05,1,17.5,Home Improvement,"Depot, Home"
91569950,11232,2024-01-05,1,14.99,Home Improvement,"Thallon, Rob"
64904504,11233,2024-01-05,1,5.0,Mystery,"Coben, Harlan"
64904504,11233,2024-01-05,1,5.0,Mystery,"Grisham, John"
64904504,11233,2024-01-05,1,16.99,Young Adult & Teen,"Hoover, Colleen"
64904504,11233,2024-01-05,1,9.0,Mystery,"Coben, Harlan"
64904504,11233,2024-01-05,1,9.0,Historical Fiction,"Jenoff, Pam"
64904504,11233,2024-01-05,1,9.99,Young Adult & Teen,"Grisham, John"
40151236,11234,2024-01-05,1,6.5,Classics,"Wallace, Lew"
40151236,11234,2024-01-05,1,13.0,Mystery,"Penman, Sharon Kay"
58743997,11235,2024-01-05,1,5.0,Westerns,
76162763,11236,2024-01-05,1,9.5,Mystery,"Baldacci, David"
76162763,11236,2024-01-05,1,8.5,Mystery,"Child, Lee,Child, Andrew"
10859988,11237,2024-01-05,1,4.0,Romance,"Carr, Robyn"
10859988,11237,2024-01-05,1,3.49,Romance Series,"Jordan, Lisa"
10859988,11237,2024-01-05,1,3.75,Romance,"Kemerer, Jill"
10859988,11237,2024-01-05,1,3.62,Christian Fiction,"Miller, Emma"
10859988,11237,2024-01-05,1,3.62,Romance,"Chapman, Vannetta"
10859988,11237,2024-01-05,1,3.75,Romance,"Bale, Leigh"
10859988,11237,2024-01-05,1,3.25,Best Seller,"Wright, Pamela Desmond"
10859988,11237,2024-01-05,1,3.25,Best Seller,"Grochowski, Amy"
10859988,11237,2024-01-05,1,3.0,Best Seller,"Jordan, Lisa"
10859988,11237,2024-01-05,1,3.0,Best Seller,"Navarro, Jolene"
10859988,11237,2024-01-05,1,3.0,Westerns,
10859988,11237,2024-01-05,2,1.0,Kid's Chapter Books,
99590383,11238,2024-01-05,1,12.99,Young Adult & Teen,"McFadden, Freida"
75605834,11239,2024-01-05,1,3.99,Kid's Board Books,"Cartwright, Shannon"
75605834,11239,2024-01-05,1,4.0,Kid's Board Books,"Gomi, Taro"
75605834,11239,2024-01-05,1,5.0,Kid's Board Books,"Bemelmans, Ludwig"
75605834,11239,2024-01-05,1,3.99,Kid's Board Books,"Walden, Libby"
75605834,11239,2024-01-05,1,4.5,Kid's Board Books,"Martin Jr., Bill,Carle, Eric"
75605834,11239,2024-01-05,1,6.5,Kid's Picture Books,"Books, Disney"
3500699,11240,2024-01-05,1,3.0,Westerns,"Cotton, Ralph"
3500699,11240,2024-01-05,1,3.0,Westerns,"Cotton, Ralph"
3500699,11240,2024-01-05,1,4.0,Westerns,"Cotton, Ralph W."
3500699,11240,2024-01-05,1,4.0,Westerns,"Compton, Ralph"
3500699,11240,2024-01-05,1,4.0,Westerns,"Robbins, David,Compton, Ralph"
3500699,11240,2024-01-05,1,4.0,,
30467767,11241,2024-01-05,1,4.0,Romance,"Wiggs, Susan"
30467767,11241,2024-01-05,1,5.0,Mystery,"Roberts, Nora"
7696,11243,2024-01-05,1,4.5,Romance,"London, Julia"
7696,11243,2024-01-05,1,3.5,Romance,"Mason, Connie"
7696,11243,2024-01-05,1,4.0,Romance,"Maxwell, Cathy"
7696,11243,2024-01-05,1,4.0,Romance,"Burrowes, Grace"
7696,11243,2024-01-05,1,3.5,Romance,"Moore, Margaret"
7696,11243,2024-01-05,1,3.0,Romance,"Heath, Lorraine"
7696,11243,2024-01-05,1,3.0,Romance,"Dodd, Christina"
7696,11243,2024-01-05,1,3.0,Romance,"Stuart, Anne"
93162913,11244,2024-01-05,1,17.0,Mystery,"Child, Lee,Child, Andrew"
93162913,11244,2024-01-05,1,5.5,Mystery,"Thor, Brad"
93162913,11244,2024-01-05,1,5.0,Mystery,"Thor, Brad"
93162913,11244,2024-01-05,1,5.0,Mystery,"Slaughter, Karin"
93162913,11244,2024-01-05,1,5.0,Mystery,"Flynn, Vince,Mills, Kyle"
56773217,11245,2024-01-06,1,8.0,Historical Fiction,"Williams, Eley"
51217099,11247,2024-01-06,1,2.0,Kid's Chapter Books,"Maccarone, Grace"
51217099,11247,2024-01-06,1,9.99,Kid's Picture Books,"Cannon, Janell"
11107217,11248,2024-01-06,1,5.0,Mystery,"Patterson, James,Tebbetts, Chris"
11107217,11248,2024-01-06,1,9.0,Mystery,"Hart, John"
30238169,11249,2024-01-06,1,7.48,Historical Fiction,"Jones, Edward P."
28259527,11250,2024-01-06,1,9.0,Mystery,"Paris, B.A."
28259527,11250,2024-01-06,1,8.5,Mystery,"Lapena, Shari"
28259527,11250,2024-01-06,1,8.99,Mystery,"Michaelides, Alex"
44159795,11251,2024-01-06,1,5.5,Kid's Picture Books,"James, Eric"
44159795,11251,2024-01-06,1,5.0,Young Adult & Teen,"Meyer, Marissa"
44159795,11251,2024-01-06,1,7.0,Young Adult & Teen,"Meyer, Marissa"
44159795,11251,2024-01-06,1,7.99,Kid's Chapter Books,"Kinney, Jeff"
34967461,11252,2024-01-06,1,9.99,Mystery,"Crais, Robert"
34967461,11252,2024-01-06,1,9.99,Mystery,"Parker, Robert B."
9648227,11258,2024-01-06,1,7.99,Graphic Novels,"Gotouge, Koyoharu"
41469507,11259,2024-01-06,1,5.0,Mystery,"Hurwitz, Gregg"
41469507,11259,2024-01-06,1,4.5,Paranormal Romance,"Harrison, Kim"
41469507,11259,2024-01-06,1,4.5,Paranormal Romance,"Harrison, Kim"
6741266,11264,2024-01-08,1,4.5,Mystery,"Brennan, Allison"
6741266,11264,2024-01-08,1,4.5,Westerns,
